Fecha,Hora,Competición,Ronda,Día,Sede,Resultado,Goles a favor,Goles en contra,Rival,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro
2023-08-12,20:45,DFL-Supercup,DFL-Supercup,Sáb,Local,D,0,3,RB Leipzig,,,67,"75,000",Joshua Kimmich,4-2-3-1,Bastian Dankert
2023-08-18,20:30,Bundesliga,Semana 1 de partido,Vie,Visitante,V,4,0,Werder Bremen,2.8,0.6,72,"42,100",Joshua Kimmich,4-2-3-1,Felix Zwayer
2023-08-27,17:30,Bundesliga,Semana 2 de partido,Dom,Local,V,3,1,Augsburg,2.8,0.7,61,"75,000",Joshua Kimmich,4-2-3-1,Daniel Siebert
2023-09-02,18:30,Bundesliga,Semana 3 de partido,Sáb,Visitante,V,2,1,M'Gladbach,2.4,0.3,65,"54,042",Thomas Müller,4-2-3-1,Deniz Aytekin
2023-09-15,20:30,Bundesliga,Semana 4 de partido,Vie,Local,E,2,2,Leverkusen,2.1,2.1,51,"75,000",Thomas Müller,4-2-3-1,Daniel Schlager
2023-09-20,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,4,3,eng Manchester Utd,2.2,1.7,59,"75,000",Joshua Kimmich,4-2-3-1,Glenn Nyberg
2023-09-23,15:30,Bundesliga,Semana 5 de partido,Sáb,Local,V,7,0,Bochum,4.8,0.1,62,"75,000",Joshua Kimmich,4-2-3-1,Robert Hartmann
2023-09-26,20:45,DFB-Pokal,Ronda de 64,Mar,Visitante,V,4,0,Preußen Münster,,,72,"12,794",Joshua Kimmich,4-1-4-1,Matthias Jöllenbeck
2023-09-30,18:30,Bundesliga,Semana 6 de partido,Sáb,Visitante,E,2,2,RB Leipzig,2.3,0.7,65,"47,069",Joshua Kimmich,4-2-3-1,Marco Fritz
2023-10-03,21:00,Champions Lg,Etapa de grupo,Mar,Visitante,V,2,1,dk FC Copenhagen,0.9,0.9,57,"35,690",Joshua Kimmich,4-2-3-1,Orel Grinfeeld
2023-10-08,17:30,Bundesliga,Semana 7 de partido,Dom,Local,V,3,0,Freiburg,2.4,0.1,69,"75,000",Thomas Müller,4-2-3-1,Robert Schröder
2023-10-21,18:30,Bundesliga,Semana 8 de partido,Sáb,Visitante,V,3,1,Mainz 05,1.8,1.1,62,"33,305",Joshua Kimmich,4-2-3-1,Sascha Stegemann
2023-10-24,19:45 (18:45),Champions Lg,Etapa de grupo,Mar,Visitante,V,3,1,tr Galatasaray,1.9,2.7,48,"51,776",Joshua Kimmich,4-2-3-1,Davide Massa
2023-10-28,15:30,Bundesliga,Semana 9 de partido,Sáb,Local,V,8,0,Darmstadt 98,5.8,0.7,54,"75,000",Manuel Neuer,4-2-3-1,Martin Petersen
2023-11-01,20:45,DFB-Pokal,Dieciseisavos de final,Mié,Visitante,D,1,2,Saarbrücken,,,75,"16,003",Manuel Neuer,4-2-3-1,Frank Willenborg
2023-11-04,18:30,Bundesliga,Semana 10 de partido,Sáb,Visitante,V,4,0,Dortmund,3.2,1.0,51,"81,365",Manuel Neuer,4-2-3-1,Deniz Aytekin
2023-11-08,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,2,1,tr Galatasaray,2.5,0.7,61,"75,000",Manuel Neuer,4-2-3-1,António Nobre
2023-11-11,15:30,Bundesliga,Semana 11 de partido,Sáb,Local,V,4,2,Heidenheim,2.0,0.9,72,"75,000",Manuel Neuer,4-2-3-1,Harm Osmers
2023-11-24,20:30,Bundesliga,Semana 12 de partido,Vie,Visitante,V,1,0,Köln,3.5,0.2,68,"50,000",Manuel Neuer,4-2-3-1,Marco Fritz
2023-11-29,21:00,Champions Lg,Etapa de grupo,Mié,Local,E,0,0,dk FC Copenhagen,0.7,0.7,62,"75,000",Manuel Neuer,4-2-3-1,Stéphanie Frappart
2023-12-09,15:30,Bundesliga,Semana 14 de partido,Sáb,Visitante,D,1,5,Eint Frankfurt,2.1,1.3,64,"58,000",Manuel Neuer,4-2-3-1,Felix Zwayer
2023-12-12,20:00 (21:00),Champions Lg,Etapa de grupo,Mar,Visitante,V,1,0,eng Manchester Utd,1.2,0.3,59,"73,073",Manuel Neuer,4-2-3-1,Espen Eskås
2023-12-17,19:30,Bundesliga,Semana 15 de partido,Dom,Local,V,3,0,Stuttgart,2.8,0.4,38,"75,000",Manuel Neuer,4-2-3-1,Tobias Stieler
2023-12-20,20:30,Bundesliga,Semana 16 de partido,Mié,Visitante,V,2,1,Wolfsburg,2.5,0.3,61,"28,917",Manuel Neuer,4-2-3-1,Sascha Stegemann
2024-01-12,20:30,Bundesliga,Semana 17 de partido,Vie,Local,V,3,0,Hoffenheim,2.8,1.2,61,"75,000",Manuel Neuer,4-2-3-1,Benjamin Brand
2024-01-21,15:30,Bundesliga,Semana 18 de partido,Dom,Local,D,0,1,Werder Bremen,1.9,0.4,68,"75,000",Manuel Neuer,4-2-3-1,Marco Fritz
2024-01-24,20:30,Bundesliga,Semana 13 de partido,Mié,Local,V,1,0,Union Berlin,2.1,0.2,72,"75,000",Manuel Neuer,4-2-3-1,Frank Willenborg
2024-01-27,15:30,Bundesliga,Semana 19 de partido,Sáb,Visitante,V,3,2,Augsburg,2.3,2.6,58,"30,660",Manuel Neuer,4-2-3-1,Christian Dingert
