Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2023-08-12,21:00,Ligue 1,Semana 1 de partido,Sáb,Local,E,0,0,Lorient,1.2,0.1,78,"47,000",Danilo Pereira,4-3-3,Bastien Dechepy,Informe del partido
2023-08-19,21:00,Ligue 1,Semana 2 de partido,Sáb,Visitante,E,1,1,Toulouse,2.1,1.2,76,"27,332",Marquinhos,4-3-3,Thomas Léonard,Informe del partido
2023-08-26,21:00,Ligue 1,Semana 3 de partido,Sáb,Local,V,3,1,Lens,1.5,0.5,66,"47,864",Marquinhos,4-4-2,François Letexier,Informe del partido
2023-09-03,20:45,Ligue 1,Semana 4 de partido,Dom,Visitante,V,4,1,Lyon,4.5,2.1,69,"51,657",Marquinhos,4-4-2,Eric Wattellier,Informe del partido
2023-09-15,21:00,Ligue 1,Semana 5 de partido,Vie,Local,D,2,3,Nice,1.0,1.3,69,"47,874",Kylian Mbappé,4-3-3,Clément Turpin,Informe del partido
2023-09-19,21:00,Champions Lg,Etapa de grupo,Mar,Local,V,2,0,de Dortmund,2.4,0.7,67,"47,379",Marquinhos,4-3-3,Jesús Gil,Informe del partido
2023-09-24,20:45,Ligue 1,Semana 6 de partido,Dom,Local,V,4,0,Marseille,1.9,0.7,76,"47,000",Marquinhos,4-4-2,Willy Delajod,Informe del partido
2023-09-30,17:00,Ligue 1,Semana 7 de partido,Sáb,Visitante,E,0,0,Clermont Foot,3.0,1.0,67,"10,757",Marquinhos,4-4-2,Marc Bollengier,Informe del partido
2023-10-04,20:00 (21:00),Champions Lg,Etapa de grupo,Mié,Visitante,D,1,4,eng Newcastle Utd,0.9,0.9,73,"52,009",Marquinhos,4-2-3-1,István Kovács,Informe del partido
2023-10-08,20:45,Ligue 1,Semana 8 de partido,Dom,Visitante,V,3,1,Rennes,3.5,1.1,58,"27,734",Marquinhos,4-3-3,Benoît Bastien,Informe del partido
2023-10-21,17:00,Ligue 1,Semana 9 de partido,Sáb,Local,V,3,0,Strasbourg,2.0,0.4,76,"41,261",Marquinhos,4-2-2-2,Bastien Dechepy,Informe del partido
