Rank,Team,Matches_Played,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference,Points,Expected_Goals,Expected_Goals_Against,Expected_Goal_Difference,Expected_Goal_Difference_Per_90,Last_5_Matches,Attendance,Top_Scorer,Goalkeeper,Notes
SF,Madrid,10.0,7.0,3.0,0.0,22.0,12.0,10.0,24.0,19.3,13.5,5.8,0.58,DWDWW,"72,017",Rodrygo-5,Andriy Lunin,
SF,Munich,10.0,7.0,2.0,1.0,18.0,9.0,9.0,23.0,17.0,10.2,6.8,0.68,DWWWW,"75,000",Harry Kane-7,Manuel Neuer,
SF,deDortmund,10.0,5.0,3.0,2.0,15.0,9.0,6.0,18.0,12.7,17.7,-5.1,-0.51,LWWDL,"81,365","Marco Reus,Julian Brandt... -2",Gregor Kobel,
SF,S-G,10.0,5.0,2.0,3.0,19.0,13.0,6.0,17.0,19.5,10.8,8.7,0.87,LWWWD,"46,736",Kylian Mbappé-8,Gianluigi Donnarumma,
QF,City,10.0,8.0,2.0,0.0,28.0,13.0,15.0,26.0,24.6,6.9,17.7,1.77,WDWWW,"51,298",Erling Haaland-6,Ederson,
QF,Madrid,10.0,6.0,2.0,2.0,23.0,13.0,10.0,20.0,16.7,12.7,3.9,0.39,WWLLW,"64,803",Antoine Griezmann-6,Jan Oblak,
QF,esBarcelona,10.0,6.0,1.0,3.0,20.0,14.0,6.0,19.0,16.9,11.3,5.6,0.56,WWWLL,"45,308","Robert Lewandowski,Ferrán Torres... -3",Marc-André ter Stegen,
QF,engArsenal,10.0,5.0,2.0,3.0,19.0,8.0,11.0,17.0,13.4,8.5,4.9,0.49,LLWWW,"59,870","Leandro Trossard,Gabriel Jesus... -4",David Raya,
R16,ptPorto,8.0,5.0,0.0,3.0,16.0,9.0,7.0,15.0,11.4,7.7,3.7,0.46,LLDWD,"47,944",Galeno-5,Diogo Costa,
R16,itInter,8.0,4.0,3.0,1.0,10.0,7.0,3.0,15.0,16.2,8.6,7.6,0.94,WWDWW,"70,279","Alexis Sánchez,Marko Arnautović... -2",Yann Sommer,
R16,Leipzig,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,12.2,10.7,1.5,0.19,DWWWW,"43,949",Loïs Openda-4,Janis Blaswich,
R16,itLazio,8.0,4.0,1.0,3.0,8.0,10.0,-2.0,13.0,10.6,11.7,-1.1,-0.14,LWWWW,"47,701",Ciro Immobile-4,Ivan Provedel,
R16,Sociedad,8.0,3.0,3.0,2.0,8.0,6.0,2.0,12.0,10.3,6.4,3.9,0.49,WWDDL,"36,790",Brais Méndez-3,Álex Remiro,
R16,itNapoli,8.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0,10.5,11.6,-1.1,-0.13,LWDLD,"45,367",Victor Osimhen-2,Alex Meret,
R16,Eindhoven,8.0,2.0,4.0,2.0,9.0,13.0,-4.0,10.0,11.0,11.0,0.0,0.0,LWWWW,"34,589",Luuk de Jong-3,Walter Benítez,
R16,Copenhagen,8.0,2.0,2.0,4.0,10.0,14.0,-4.0,8.0,9.1,12.8,-3.7,-0.46,LLDWW,"35,592","Mohamed Elyounoussi,Lukas Lerager-3",Kamil Grabara,
GR,uaShakhtar,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,7.4,10.9,-3.5,-0.58,WWWWW,"47,695",Danylo Sikan-4,Dmytro Riznyk,
GR,itMilan,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,9.6,7.7,1.9,0.32,LDLLD,"72,212",Samuel Chukwueze-2,Mike Maignan,
GR,frLens,6.0,2.0,2.0,2.0,6.0,11.0,-5.0,8.0,6.1,7.5,-1.4,-0.23,LDLWL,"37,543","Angelo Fulgini,Elye Wahi-2",Brice Samba,
GR,nlFeyenoord,6.0,2.0,0.0,4.0,9.0,10.0,-1.0,6.0,10.6,8.0,2.6,0.43,WDWWW,"44,010",Santiago Giménez-2,Justin Bijlow,
GR,Utd,6.0,1.0,2.0,3.0,6.0,7.0,-1.0,5.0,5.9,12.3,-6.4,-1.07,DWWLW,"52,023","Dan Burn,Fabian Schär... -1",Nick Pope,
GR,trGalatasaray,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,9.8,10.2,-0.4,-0.07,WWWWW,"50,140","Mauro Icardi,Hakim Ziyech... -2",Fernando Muslera,
GR,Utd,6.0,1.0,1.0,4.0,12.0,15.0,-3.0,4.0,10.5,11.4,-0.9,-0.15,DDDWD,"73,175",Rasmus Højlund-5,André Onana,
GR,ptBenfica,6.0,1.0,1.0,4.0,7.0,11.0,-4.0,4.0,7.8,15.9,-8.1,-1.34,WWLWW,"56,621",João Mário-3,Anatolii Trubin,
GR,Salzburg,6.0,1.0,1.0,4.0,4.0,8.0,-4.0,4.0,7.4,11.4,-3.9,-0.66,DLWLD,"28,477",Oscar Gloukh-2,Alexander Schlager,
GR,Boys,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,6.4,15.3,-8.9,-1.48,DWDWW,"31,500",Meschak Elia-2,Anthony Racioppi,
GR,ptBraga,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,8.3,10.0,-1.7,-0.28,WLWWL,"21,366","Bruma,Álvaro djaló-2",Matheus,
GR,sctCeltic,6.0,1.0,1.0,4.0,5.0,15.0,-10.0,4.0,4.9,11.7,-6.8,-1.13,WWDWW,"56,099","Kyogo Furuhashi,Luis Enrique Palma-2",Joe Hart,
GR,beAntwerp,6.0,1.0,0.0,5.0,6.0,17.0,-11.0,3.0,6.2,11.1,-4.9,-0.81,LLWLL,"13,570","Vincent Janssen,Arbnor Muja... -1",Jean Butez,
