Season,Round,Day,Date,Time,Home_Team,Score,Away_Team,Attendance,Venue,Referee,Match_Report,Notes
2017-2018,Round of 16,Tue,2018-02-13,20:45,Juventusit,2–2,engTottenham,"41,232",Allianz Stadium,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-13,20:45,Baselch,0–4,engManchester City,"36,000",St. Jakob-Park,Jonas Eriksson,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-14,19:45,Portopt,0–5,engLiverpool,"47,718",Estádio Do Dragão,Daniele Orsato,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-14,20:45,Real Madrides,3–1,frParis S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-20,19:45,Chelseaeng,1–1,esBarcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-20,20:45,Bayern Munichde,5–0,trBeşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-21,20:45,Sevillaes,0–0,engManchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-21,21:45,Shakhtarua,2–1,itRoma,"35,124",Oblasny SportKomplex Metalist,William Collum,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-03-06,19:45,Liverpooleng,0–0,ptPorto,"48,768",Anfield,Felix Zwayer,Match Report,Leg 2 of 2; Liverpool won
2017-2018,Round of 16,Tue,2018-03-06,20:45,Paris S-Gfr,1–2,esReal Madrid,"46,585",Parc des Princes,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won
