Ranking,Player_Name,Team,Goals,Assists
1.0,Mbappé K.,PSG,8,0
2.0,Kane H.,Bayern Múnich,7,3
3.0,Griezmann A.,Atlético de Madrid,6,1
3.0,Haaland E.,Manchester City,6,1
5.0,Galeno,Oporto,5,4
6.0,Foden P.,Manchester City,5,3
7.0,Rodrygo,Real Madrid,5,2
7.0,Álvarez J.,Manchester City,5,2
9.0,Hojlund R.,Manchester Utd,5,0
9.0,Morata A.,Atlético de Madrid,5,0
11.0,Bellingham J.,Real Madrid,4,4
11.0,Saka B.,Arsenal,4,4
13.0,Gabriel Jesus,Arsenal,4,3
14.0,Evanilson,Oporto,4,1
14.0,Sikan D.,Shakhtar,4,1
14.0,Trossard L.,Arsenal,4,1
17.0,Immobile C.,Lazio,4,0
17.0,Openda L.,RB Leipzig,4,0
19.0,Raphinha,Barcelona,3,4
19.0,Vinicius Junior,Real Madrid,3,4
21.0,Lino S.,Atlético de Madrid,3,3
22.0,Joao Félix,Barcelona,3,1
22.0,Lerager L.,Copenhague,3,1
22.0,Lewandowski R.,Barcelona,3,1
22.0,Méndez B.,Real Sociedad,3,1
22.0,Torres F.,Barcelona,3,1
27.0,Elyounoussi M.,Copenhague,3,0
27.0,Joao Mario,Benfica,3,0
27.0,Joselu,Real Madrid,3,0
27.0,de Jong L.,PSV,3,0
31.0,Bukari O.,Estrella Roja,2,2
31.0,De Bruyne K.,Manchester City,2,2
31.0,Dembélé O.,PSG,2,2
31.0,Fernandes B.,Manchester Utd,2,2
31.0,Füllkrug N.,Borussia Dortmund,2,2
31.0,Martinelli G.,Arsenal,2,2
31.0,Simons X.,RB Leipzig,2,2
31.0,Taremi M.,Oporto,2,2
39.0,Adeyemi K.,Borussia Dortmund,2,1
39.0,Becker S.,Union Berlin,2,1
39.0,Brandt J.,Borussia Dortmund,2,1
39.0,Bruma,SC Braga,2,1
39.0,Cancelo J.,Barcelona,2,1
39.0,Díaz B.,Real Madrid,2,1
39.0,Ferreira V.,PSG,2,1
39.0,Giménez S.,Feyenoord,2,1
39.0,Gloukh O.,Salzburgo,2,1
39.0,Gonçalves D.,Copenhague,2,1
39.0,López F.,Barcelona,2,1
39.0,Martínez La.,Inter,2,1
39.0,Merino M.,Real Sociedad,2,1
39.0,Musiala J.,Bayern Múnich,2,1
39.0,Odegaard M.,Arsenal,2,1
39.0,Osimhen V.,Nápoles,2,1
39.0,Ramos S.,Sevilla,2,1
39.0,Reus M.,Borussia Dortmund,2,1
39.0,Tel M.,Bayern Múnich,2,1
39.0,Wahi E.,Lens,2,1
39.0,Ziyech H.,Galatasaray,2,1
60.0,Akanji M.,Manchester City,2,0
60.0,Akturkoglu K.,Galatasaray,2,0
60.0,Arnautovic M.,Inter,2,0
60.0,Casemiro,Manchester Utd,2,0
60.0,Chukwueze S.,AC Milan,2,0
60.0,Coman K.,Bayern Múnich,2,0
60.0,Djalo A.,SC Braga,2,0
60.0,Elia M.,Young Boys,2,0
60.0,En-Nesyri Y.,Sevilla,2,0
60.0,Fulgini A.,Lens,2,0
60.0,Furuhashi K.,Celtic,2,0
60.0,Gnabry S.,Bayern Múnich,2,0
60.0,Gudelj N.,Sevilla,2,0
60.0,Icardi M.,Galatasaray,2,0
60.0,Oyarzabal M.,Real Sociedad,2,0
60.0,Palma L.,Celtic,2,0
60.0,Pedro P.,Lazio,2,0
60.0,Pepe,Oporto,2,0
60.0,Rafa Silva,Benfica,2,0
60.0,Sesko B.,RB Leipzig,2,0
60.0,Silva B.,Manchester City,2,0
60.0,Sánchez A.,Inter,2,0
82.0,Sabitzer M.,Borussia Dortmund,1,5
83.0,Zaire-Emery W.,PSG,1,3
84.0,Frankowski P.,Lens,1,2
84.0,Giroud O.,AC Milan,1,2
84.0,Kimmich J.,Bayern Múnich,1,2
84.0,Pepê,Oporto,1,2
84.0,Politano M.,Nápoles,1,2
84.0,Raum D.,RB Leipzig,1,2
84.0,Rodri,Manchester City,1,2
84.0,Sané L.,Bayern Múnich,1,2
84.0,Schlager X.,RB Leipzig,1,2
84.0,Vermeeren A.,Antwerp,1,2
84.0,Vertessen Y.,PSV,1,2
95.0,Almirón M.,Newcastle,1,1
95.0,Bakayoko J.,PSV,1,1
