Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2023-08-18,20:30,Bundesliga,Semana 1 de partido,Vie,Visitante,V,4.0,0.0,Werder Bremen,2.8,0.6,72.0,"42,100",Joshua Kimmich,4-2-3-1,Felix Zwayer,Informe del partido
2023-08-27,17:30,Bundesliga,Semana 2 de partido,Dom,Local,V,3.0,1.0,Augsburg,2.8,0.7,61.0,"75,000",Joshua Kimmich,4-2-3-1,Daniel Siebert,Informe del partido
2023-09-02,18:30,Bundesliga,Semana 3 de partido,Sáb,Visitante,V,2.0,1.0,M'Gladbach,2.4,0.3,65.0,"54,042",Thomas Müller,4-2-3-1,Deniz Aytekin,Informe del partido
2023-09-15,20:30,Bundesliga,Semana 4 de partido,Vie,Local,E,2.0,2.0,Leverkusen,2.1,2.1,51.0,"75,000",Thomas Müller,4-2-3-1,Daniel Schlager,Informe del partido
2023-09-20,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,4.0,3.0,eng Manchester Utd,2.2,1.7,59.0,"75,000",Joshua Kimmich,4-2-3-1,Glenn Nyberg,Informe del partido
2023-09-23,15:30,Bundesliga,Semana 5 de partido,Sáb,Local,V,7.0,0.0,Bochum,4.8,0.1,62.0,"75,000",Joshua Kimmich,4-2-3-1,Robert Hartmann,Informe del partido
2023-09-30,18:30,Bundesliga,Semana 6 de partido,Sáb,Visitante,E,2.0,2.0,RB Leipzig,2.3,0.7,65.0,"47,069",Joshua Kimmich,4-2-3-1,Marco Fritz,Informe del partido
2023-10-03,21:00,Champions Lg,Etapa de grupo,Mar,Visitante,V,2.0,1.0,dk FC Copenhagen,0.9,0.9,57.0,"35,690",Joshua Kimmich,4-2-3-1,Orel Grinfeeld,Informe del partido
2023-10-08,17:30,Bundesliga,Semana 7 de partido,Dom,Local,V,3.0,0.0,Freiburg,2.4,0.1,69.0,"75,000",Thomas Müller,4-2-3-1,Robert Schröder,Informe del partido
2023-10-21,18:30,Bundesliga,Semana 8 de partido,Sáb,Visitante,V,3.0,1.0,Mainz 05,1.8,1.1,62.0,"33,305",Joshua Kimmich,4-2-3-1,Sascha Stegemann,Informe del partido
