Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2023-08-12,21:30,La Liga,Semana 1 de partido,Sáb,Visitante,V,2,0,Athletic Club,0.9,0.4,54.0,"48,927",Dani Carvajal,4-1-2-1-2◆,Jesús Gil,Informe del partido
2023-08-19,19:30,La Liga,Semana 2 de partido,Sáb,Visitante,V,3,1,Almería,2.0,1.3,57.0,"17,561",Dani Carvajal,4-3-1-2,José Sánchez,Informe del partido
2023-08-25,21:30,La Liga,Semana 3 de partido,Vie,Visitante,V,1,0,Celta Vigo,1.4,1.2,63.0,"23,057",Dani Carvajal,4-1-2-1-2◆,Isidro Díaz de Mera,Informe del partido
2023-09-02,16:15,La Liga,Semana 4 de partido,Sáb,Local,V,2,1,Getafe,2.8,0.4,76.0,"66,747",Luka Modrić,4-3-1-2,Mario Melero,Informe del partido
2023-09-17,21:00,La Liga,Semana 5 de partido,Dom,Local,V,2,1,Real Sociedad,2.0,1.6,52.0,"70,092",Dani Carvajal,4-1-2-1-2◆,César Soto,Informe del partido
2023-09-20,18:45,Champions Lg,Etapa de grupo,Mié,Local,V,1,0,de Union Berlin,3.7,0.2,75.0,"65,207",Nacho,4-3-1-2,Espen Eskås,Informe del partido
2023-09-24,21:00,La Liga,Semana 6 de partido,Dom,Visitante,D,1,3,Atlético Madrid,1.0,1.4,63.0,"69,082",Luka Modrić,4-1-2-1-2◆,Alberola Rojas,Informe del partido
2023-09-27,19:00,La Liga,Semana 7 de partido,Mié,Local,V,2,0,Las Palmas,1.7,0.7,48.0,"65,017",Nacho,4-3-1-2,José Luis Munuera,Informe del partido
2023-09-30,18:30,La Liga,Semana 8 de partido,Sáb,Visitante,V,3,0,Girona,2.3,1.6,48.0,"14,184",Nacho,4-3-1-2,Juan Pulido,Informe del partido
2023-10-03,21:00,Champions Lg,Etapa de grupo,Mar,Visitante,V,3,2,it Napoli,1.4,1.9,50.0,"51,649",Nacho,4-3-1-2,Clément Turpin,Informe del partido
2023-10-07,16:15,La Liga,Semana 9 de partido,Sáb,Local,V,4,0,Osasuna,3.2,0.5,67.0,"70,864",Luka Modrić,4-3-1-2,Guillermo Cuadra,Informe del partido
2023-10-21,18:30,La Liga,Semana 10 de partido,Sáb,Visitante,E,1,1,Sevilla,1.6,1.5,51.0,"41,212",Dani Carvajal,4-1-2-1-2◆,Ricardo de Burgos,Informe del partido
2023-10-24,20:00 (21:00),Champions Lg,Etapa de grupo,Mar,Visitante,V,2,1,pt Braga,0.9,1.5,52.0,"29,820",Nacho,4-3-1-2,Michael Oliver,Informe del partido
2023-10-28,16:15,La Liga,Semana 11 de partido,Sáb,Visitante,V,2,1,Barcelona,1.1,1.5,47.0,"50,112",Dani Carvajal,4-1-3-2,Jesús Gil,Informe del partido
2023-11-05,21:00,La Liga,Semana 12 de partido,Dom,Local,E,0,0,Rayo Vallecano,2.2,0.1,63.0,"70,220",Luka Modrić,4-3-1-2,Juan Martínez,Informe del partido
2023-11-08,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,3,0,pt Braga,3.2,1.4,48.0,"68,509",Nacho,4-3-1-2,Halil Umut Meler,Informe del partido
2023-11-11,21:00,La Liga,Semana 13 de partido,Sáb,Local,V,5,1,Valencia,1.7,1.7,57.0,"72,475",Nacho,4-4-2,José Sánchez,Informe del partido
2023-11-26,18:30,La Liga,Semana 14 de partido,Dom,Visitante,V,3,0,Cádiz,1.6,1.2,61.0,"20,325",Nacho,4-2-2-2,Guillermo Cuadra,Informe del partido
2023-11-29,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,4,2,it Napoli,2.8,1.4,53.0,"73,562",Dani Carvajal,4-2-2-2,François Letexier,Informe del partido
