Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Harry Kane,eng ENG,DL,30-276,31,31,"2,749",30.5,35,8,43,31,4,4,2,0,29.5,26.3,6.0,32.3,36,100,162,1.15,0.26,1.41,1.01,1.28,0.96,0.20,1.16,0.86
Leroy Sané,de GER,DL,28-109,26,25,"2,118",23.5,8,11,19,8,0,0,4,0,10.9,10.9,10.8,21.8,120,112,274,0.34,0.47,0.81,0.34,0.81,0.46,0.46,0.92,0.46
Joshua Kimmich,de GER,"CC,DF",29-081,25,24,"1,933",21.5,1,6,7,1,0,0,1,1,1.0,1.0,7.0,8.1,52,221,101,0.05,0.28,0.33,0.05,0.33,0.05,0.33,0.37,0.05
Leon Goretzka,de GER,CC,29-083,27,23,"2,004",22.3,5,7,12,5,0,0,3,0,4.8,4.8,5.0,9.8,64,165,61,0.22,0.31,0.54,0.22,0.54,0.22,0.22,0.44,0.22
Alphonso Davies,ca CAN,DF,23-179,26,21,"1,795",19.9,1,4,5,1,0,0,0,0,0.4,0.4,2.7,3.1,107,108,123,0.05,0.20,0.25,0.05,0.25,0.02,0.13,0.15,0.02
Kim Min-jae,kr KOR,DF,27-166,23,20,"1,806",20.1,1,1,2,1,0,0,3,0,0.7,0.7,0.4,1.1,14,125,2,0.05,0.05,0.10,0.05,0.10,0.03,0.02,0.05,0.03
Manuel Neuer,de GER,PO,38-033,20,20,"1,800",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamal Musiala,de GER,"CC,DL",21-063,24,20,"1,755",19.5,10,5,15,10,0,0,2,0,7.9,7.9,6.0,13.9,103,100,163,0.51,0.26,0.77,0.51,0.77,0.40,0.31,0.71,0.40
Thomas Müller,de GER,"CC,DL",34-229,29,18,"1,474",16.4,5,7,12,5,0,0,0,0,5.4,5.4,7.9,13.3,33,74,177,0.31,0.43,0.73,0.31,0.73,0.33,0.48,0.81,0.33
Konrad Laimer,at AUT,"DF,CC",26-338,27,17,"1,665",18.5,0,3,3,0,0,0,3,0,0.9,0.9,3.9,4.8,61,126,96,0.00,0.16,0.16,0.00,0.16,0.05,0.21,0.26,0.05
Dayot Upamecano,fr FRA,DF,25-185,22,17,"1,537",17.1,1,0,1,1,0,0,3,1,1.7,1.7,0.5,2.1,23,121,9,0.06,0.00,0.06,0.06,0.06,0.10,0.03,0.12,0.10
Matthijs de Ligt,nl NED,DF,24-261,20,15,"1,284",14.3,2,0,2,2,0,0,5,0,1.7,1.7,0.1,1.8,15,97,6,0.14,0.00,0.14,0.14,0.14,0.12,0.01,0.13,0.12
Noussair Mazraoui,ma MAR,DF,26-167,18,15,"1,170",13.0,0,3,3,0,0,0,3,0,0.9,0.9,1.8,2.6,34,103,79,0.00,0.23,0.23,0.00,0.23,0.07,0.14,0.20,0.07
Kingsley Coman,fr FRA,DL,27-321,17,15,"1,113",12.4,3,3,6,3,0,0,1,0,2.8,2.8,3.8,6.6,75,72,210,0.24,0.24,0.49,0.24,0.49,0.22,0.31,0.53,0.22
Raphaël Guerreiro,pt POR,"DF,CC",30-129,19,12,"1,175",13.1,3,0,3,3,0,0,2,0,2.4,2.4,2.0,4.4,36,85,90,0.23,0.00,0.23,0.23,0.23,0.19,0.15,0.34,0.19
Eric Dier,eng ENG,DF,30-105,13,11,"1,031",11.5,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,8,49,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06
Aleksandar Pavlovic,de GER,CC,19-362,16,11,"1,013",11.3,2,2,4,2,0,0,5,0,1.2,1.2,1.0,2.2,13,92,13,0.18,0.18,0.36,0.18,0.36,0.11,0.09,0.20,0.11
Sven Ulreich,de GER,PO,35-270,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eric Maxim Choupo-Moting,cm CMR,"CC,DL",35-037,26,6,627,7.0,2,2,4,2,0,0,1,0,4.2,4.2,1.8,6.0,21,19,68,0.29,0.29,0.57,0.29,0.57,0.61,0.26,0.86,0.61
Serge Gnabry,de GER,"DL,CC",28-290,9,4,369,4.1,3,1,4,3,0,0,0,0,2.4,2.4,1.2,3.7,23,23,48,0.73,0.24,0.98,0.73,0.98,0.59,0.30,0.89,0.59
Mathys Tel,fr FRA,"DL,CC",19-002,27,3,809,9.0,6,4,10,6,0,0,2,0,3.2,3.2,1.6,4.8,42,25,108,0.67,0.44,1.11,0.67,1.11,0.36,0.18,0.53,0.36
Sacha Boey,fr FRA,DF,23-229,2,1,109,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,5,8,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20
Bouna Sarr,sn SEN,DF,32-089,2,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19
Bryan Zaragoza,es ESP,"DL,CC",23-004,4,0,72,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,9,3,14,0.00,0.00,0.00,0.00,0.00,0.44,0.08,0.52,0.44
Frans Krätzig,de GER,DF,21-106,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0,7,7,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.84,0.42
Lovro Zvonarek,hr CRO,CC,18-357,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.61,0.00
Ryan Gravenberch,nl NED,DL,21-349,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,1.92,1.92,0.00
Adam Aznou,es ESP,DF,17-332,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Taichi Fukui,jp JPN,CC,19-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Hülsmann,de GER,PO,20-018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Nkili,de GER,CC,18-159,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Pavard,fr FRA,DF,28-032,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Peretz,il ISR,PO,23-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total del equipo,,,28.3,31,341,"2,790",31.0,88,67,155,84,4,4,44,2,81.7,78.6,63.4,142.0,895,1843,1828,2.84,2.16,5.00,2.71,4.87,2.63,2.05,4.68,2.54
Total del oponente,,,27.3,31,341,"2,790",31.0,38,29,67,35,3,4,56,3,28.4,25.2,19.7,45.0,457,858,849,1.23,0.94,2.16,1.13,2.06,0.92,0.64,1.55,0.81
