Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Nico Schlotterbeck,de GER,DF,24-149,30,30,"2,651",29.5,2,1,3,2,0,0,3,0,3.0,3.0,1.5,4.4,53,177,9,0.07,0.03,0.10,0.07,0.10,0.10,0.05,0.15,0.10
Niclas Füllkrug,de GER,DL,31-079,28,26,"2,152",23.9,12,8,20,9,3,3,1,0,12.3,9.9,3.1,13.0,16,48,117,0.50,0.33,0.84,0.38,0.71,0.51,0.13,0.65,0.41
Julian Brandt,de GER,"CC,DL",27-362,29,26,"2,123",23.6,6,11,17,6,0,0,2,0,4.1,4.1,9.3,13.4,69,103,152,0.25,0.47,0.72,0.25,0.72,0.17,0.40,0.57,0.17
Gregor Kobel,ch SUI,PO,26-144,25,25,"2,185",24.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcel Sabitzer,at AUT,CC,30-042,23,22,"1,853",20.6,4,3,7,3,1,1,3,1,3.4,2.6,1.8,4.4,38,104,65,0.19,0.15,0.34,0.15,0.29,0.16,0.09,0.25,0.13
Emre Can,de GER,"CC,DF",30-107,24,21,"1,863",20.7,2,2,4,0,2,2,5,0,2.1,0.5,1.4,1.9,31,104,17,0.10,0.10,0.19,0.00,0.10,0.10,0.07,0.17,0.02
Julian Ryerson,no NOR,DF,26-163,20,19,"1,695",18.8,4,1,5,4,0,0,3,0,1.7,1.7,2.7,4.4,40,59,114,0.21,0.05,0.27,0.21,0.27,0.09,0.14,0.23,0.09
Donyell Malen,nl NED,"DL,CC",25-110,24,19,"1,644",18.3,11,1,12,11,0,0,5,0,7.4,7.4,2.9,10.3,66,52,145,0.60,0.05,0.66,0.60,0.66,0.40,0.16,0.56,0.40
Mats Hummels,de GER,DF,35-134,24,19,"1,491",16.6,3,0,3,3,0,0,4,1,3.2,3.2,0.9,4.1,11,79,1,0.18,0.00,0.18,0.18,0.18,0.19,0.05,0.25,0.19
Marco Reus,de GER,"CC,DL",34-333,23,15,"1,365",15.2,4,5,9,4,0,0,1,0,5.0,5.0,3.4,8.4,23,49,74,0.26,0.33,0.59,0.26,0.59,0.33,0.22,0.55,0.33
