Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Gianluigi Donnarumma,it ITA,PO,25-063,25,25,"2,169",24.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kylian Mbappé,fr FRA,DL,25-130,28,23,"2,068",23.0,26,7,33,20,6,8,4,0,19.9,13.5,5.6,19.0,112,116,272,1.13,0.30,1.44,0.87,1.18,0.87,0.24,1.11,0.59
Lucas Hernández,fr FRA,DF,28-074,27,23,"1,909",21.2,1,1,2,1,0,0,6,0,0.5,0.5,1.6,2.0,30,156,22,0.05,0.05,0.09,0.05,0.09,0.02,0.07,0.10,0.02
Vitinha,pt POR,CC,24-075,27,22,"2,036",22.6,7,4,11,7,0,0,0,0,3.1,3.1,3.1,6.2,39,180,121,0.31,0.18,0.49,0.31,0.49,0.13,0.14,0.27,0.13
Achraf Hakimi,ma MAR,DF,25-176,24,20,"1,918",21.3,4,5,9,4,0,0,3,0,4.2,4.2,5.2,9.5,86,213,231,0.19,0.23,0.42,0.19,0.42,0.20,0.25,0.44,0.20
Warren Zaire-Emery,fr FRA,"CC,DF",18-051,25,20,"1,872",20.8,2,3,5,2,0,0,4,0,1.4,1.4,3.2,4.6,52,114,89,0.10,0.14,0.24,0.10,0.24,0.07,0.15,0.22,0.07
Danilo Pereira,pt POR,DF,32-232,24,20,"1,815",20.2,0,0,0,0,0,0,2,0,1.0,1.0,0.0,1.0,26,135,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05
Manuel Ugarte Ribeiro,uy URU,CC,23-017,23,19,"1,752",19.5,0,2,2,0,0,0,5,0,0.5,0.5,0.9,1.3,16,82,23,0.00,0.10,0.10,0.00,0.10,0.02,0.04,0.07,0.02
Ousmane Dembélé,fr FRA,"CC,DL",26-349,25,17,"1,477",16.4,3,8,11,3,0,0,0,0,4.4,4.4,6.4,10.8,154,131,244,0.18,0.49,0.67,0.18,0.67,0.27,0.39,0.66,0.27
Marquinhos,br BRA,DF,29-350,20,17,"1,447",16.1,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.9,16,115,3,0.00,0.06,0.06,0.00,0.06,0.03,0.03,0.05,0.03
Bradley Barcola,fr FRA,"DL,CC",21-239,23,16,"1,218",13.5,3,6,9,3,0,0,3,1,4.0,4.0,4.9,8.9,85,56,202,0.22,0.44,0.67,0.22,0.67,0.29,0.36,0.66,0.29
Milan Škriniar,sk SVK,DF,29-077,21,15,"1,429",15.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,5,55,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01
Lee Kang-in,kr KOR,"CC,DL",23-069,20,15,"1,243",13.8,2,3,5,2,0,0,2,0,0.8,0.8,1.9,2.7,46,96,137,0.14,0.22,0.36,0.14,0.36,0.06,0.14,0.20,0.06
Gonçalo Ramos,pt POR,DL,22-313,26,14,"1,274",14.2,11,1,12,10,1,1,1,0,10.5,9.7,2.3,12.0,11,26,81,0.78,0.07,0.85,0.71,0.78,0.74,0.16,0.90,0.69
Randal Kolo Muani,fr FRA,"DL,CC",25-145,25,13,"1,239",13.8,6,5,11,6,0,0,1,0,6.1,6.1,3.2,9.2,35,41,122,0.44,0.36,0.80,0.44,0.80,0.44,0.23,0.67,0.44
Fabián Ruiz Peña,es ESP,CC,28-025,20,13,"1,114",12.4,1,2,3,1,0,0,3,0,2.0,2.0,1.1,3.0,14,72,36,0.08,0.16,0.24,0.08,0.24,0.16,0.09,0.24,0.16
Marco Asensio,es ESP,"CC,DL",28-098,16,11,927,10.3,4,4,8,4,0,0,0,0,2.7,2.7,4.0,6.7,30,55,75,0.39,0.39,0.78,0.39,0.78,0.26,0.39,0.65,0.26
Carlos Soler,es ESP,"CC,DF",27-117,21,10,903,10.0,1,2,3,1,0,0,1,0,1.0,1.0,2.1,3.2,11,51,49,0.10,0.20,0.30,0.10,0.30,0.10,0.21,0.31,0.10
Lucas Beraldo,br BRA,DF,20-156,11,10,848,9.4,1,0,1,1,0,0,3,1,1.0,1.0,0.2,1.2,3,32,2,0.11,0.00,0.11,0.11,0.11,0.10,0.03,0.13,0.10
Nordi Mukiele,fr FRA,DF,26-179,14,7,630,7.0,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,8,27,13,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10
Arnau Tenas,es ESP,PO,22-334,4,3,349,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Keylor Navas,cr CRC,PO,37-135,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Senny Mayulu,fr FRA,"DL,CC",17-347,5,2,215,2.4,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,3,6,27,0.00,0.42,0.42,0.00,0.42,0.02,0.19,0.21,0.02
Yoram Zague,fr FRA,DF,17-349,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01
Nuno Mendes,pt POR,DF,21-314,5,1,190,2.1,1,1,2,1,0,0,2,0,0.3,0.3,0.3,0.6,10,18,16,0.47,0.47,0.95,0.47,0.95,0.13,0.15,0.28,0.13
Cher Ndour,it ITA,CC,19-276,3,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ethan Mbappé,fr FRA,"DF,CC",17-121,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.67
Hugo Ekitike,fr FRA,DL,21-313,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00
Layvin Kurzawa,fr FRA,DF,31-237,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kouakou Gadou,fr FRA,DF,17-102,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismaël Gharbi,es ESP,CC,20-018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Letellier,fr FRA,PO,33-139,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
