Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Federico Valverde,uy URU,CC,25-281,33,30,"2,663",29.6,1,7,8,1,0,0,2,0,3.3,3.3,5.7,9.0,100,221,95,0.03,0.24,0.27,0.03,0.27,0.11,0.19,0.30,0.11
Antonio Rüdiger,de GER,DF,31-056,29,27,"2,441",27.1,1,0,1,1,0,0,7,0,1.3,1.3,1.2,2.4,16,76,1,0.04,0.00,0.04,0.04,0.04,0.05,0.04,0.09,0.05
Rodrygo,br BRA,DL,23-110,31,26,"2,177",24.2,10,5,15,10,0,1,2,0,10.7,9.9,3.5,13.4,142,82,275,0.41,0.21,0.62,0.41,0.62,0.44,0.15,0.59,0.41
Jude Bellingham,eng ENG,"CC,DL",20-304,25,25,"2,110",23.4,17,4,21,16,1,1,5,1,10.6,9.8,4.3,14.1,77,170,155,0.73,0.17,0.90,0.68,0.85,0.45,0.18,0.63,0.42
Aurélien Tchouaméni,fr FRA,"CC,DF",24-092,27,22,"1,987",22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.10,0.06
Toni Kroos,de GER,CC,34-115,30,22,"1,946",21.6,1,7,8,1,0,0,3,0,1.6,1.6,4.6,6.2,31,257,26,0.05,0.32,0.37,0.05,0.37,0.07,0.21,0.29,0.07
Dani Carvajal,es ESP,DF,32-108,25,22,"1,918",21.3,4,3,7,4,0,0,4,1,1.1,1.1,2.5,3.6,28,75,146,0.19,0.14,0.33,0.19,0.33,0.05,0.12,0.17,0.05
Andriy Lunin,ua UKR,PO,25-077,20,20,"1,800",20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
Vinicius Júnior,br BRA,DL,23-291,23,20,"1,666",18.5,13,5,18,12,1,1,6,0,12.0,11.2,3.4,14.6,113,47,239,0.70,0.27,0.97,0.65,0.92,0.65,0.19,0.83,0.60
Ferland Mendy,fr FRA,DF,28-325,21,19,"1,540",17.1,0,0,0,0,0,0,5,0,0.1,0.1,0.9,1.0,18,78,90,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01
Eduardo Camavinga,fr FRA,"CC,DF",21-170,26,17,"1,483",16.5,0,1,1,0,0,0,8,0,0.9,0.9,0.8,1.7,41,83,26,0.00,0.06,0.06,0.00,0.06,0.05,0.05,0.10,0.05
Nacho,es ESP,DF,34-101,24,15,"1,452",16.1,0,0,0,0,0,0,3,2,0.5,0.5,0.4,0.9,9,47,7,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03
Luka Modrić,hr CRO,CC,38-232,28,15,"1,431",15.9,2,4,6,2,0,0,2,0,1.2,1.2,5.0,6.1,45,160,74,0.13,0.25,0.38,0.13,0.38,0.07,0.31,0.38,0.07
Brahim Díaz,ma MAR,"DL,CC",24-269,28,15,"1,316",14.6,5,3,8,5,0,0,0,0,5.1,5.1,3.9,8.9,60,61,144,0.34,0.21,0.55,0.34,0.55,0.35,0.26,0.61,0.35
David Alaba,at AUT,DF,31-309,14,14,"1,154",12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13,0.00,0.08,0.08,0.00,0.08,0.08,0.05,0.13,0.08
Kepa Arrizabalaga,es ESP,PO,29-208,13,13,"1,170",13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joselu,es ESP,DL,34-032,31,12,"1,417",15.7,8,2,10,8,0,2,1,0,9.3,7.7,1.6,9.3,14,18,86,0.51,0.13,0.64,0.51,0.64,0.59,0.10,0.69,0.49
Lucas Vázquez,es ESP,DF,32-302,26,12,"1,222",13.6,2,4,6,2,0,0,0,0,1.0,0.9,3.2,4.1,25,48,134,0.15,0.29,0.44,0.15,0.44,0.07,0.23,0.31,0.07
Fran Garcia,es ESP,DF,24-258,22,12,"1,128",12.5,0,4,4,0,0,0,2,0,0.3,0.3,2.0,2.3,42,52,102,0.00,0.32,0.32,0.00,0.32,0.02,0.16,0.19,0.02
Dani Ceballos,es ESP,"CC,DL",27-265,15,2,305,3.4,0,1,1,0,0,0,1,0,0.2,0.2,1.2,1.4,12,21,16,0.00,0.30,0.30,0.00,0.30,0.05,0.36,0.41,0.05
Éder Militão,br BRA,DF,26-101,5,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arda Güler,tr TUR,DL,19-063,6,1,103,1.1,2,0,2,2,0,0,1,0,0.7,0.7,0.0,0.7,4,1,6,1.75,0.00,1.75,1.75,1.75,0.59,0.00,0.59,0.59
Nicolás Paz,ar ARG,"CC,DL",19-233,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31
Gonzalo García,es ESP,"DL,CC",20-035,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16
Álvaro Muñoz,uy URU,DL,19-289,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Cañizares,es ESP,PO,21-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Carrillo,es ESP,DF,22-022,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,es ESP,DF,25-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran González,es ESP,PO,18-309,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario de Luis,es ESP,PO,21-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Martín,es ESP,CC,20-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Odriozola,es ESP,DF,28-136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Piñeiro,es ESP,PO,20-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Pujol,es ESP,DF,19-265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobo Ramón,es ESP,DF,19-113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Tobias,br BRA,DF,20-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Zidane,fr FRA,CC,21-346,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total del equipo,,,28.1,33,363,"2,970",33.0,69,52,121,67,2,5,64,4,60.5,56.8,45.5,102.4,819,1666,1656,2.09,1.58,3.67,2.03,3.61,1.83,1.38,3.21,1.72
Total del oponente,,,27.9,33,363,"2,970",33.0,21,14,35,20,1,1,88,0,29.7,29.0,22.2,51.3,506,1065,1050,0.64,0.42,1.06,0.61,1.03,0.90,0.67,1.58,0.88
