Ranking,Nombre,Equipo,Goles,Asistencias
1.,Mbappé K.,PSG,8,0
2.,Kane H.,Bayern Múnich,7,3
3.,Griezmann A.,Atlético de Madrid,6,1
3.,Haaland E.,Manchester City,6,1
5.,Galeno,Oporto,5,4
6.,Foden P.,Manchester City,5,3
7.,Rodrygo,Real Madrid,5,2
7.,Álvarez J.,Manchester City,5,2
9.,Hojlund R.,Manchester Utd,5,0
9.,Morata A.,Atlético de Madrid,5,0
11.,Bellingham J.,Real Madrid,4,4
11.,Saka B.,Arsenal,4,4
13.,Gabriel Jesus,Arsenal,4,3
14.,Evanilson,Oporto,4,1
14.,Sikan D.,Shakhtar,4,1
14.,Trossard L.,Arsenal,4,1
17.,Immobile C.,Lazio,4,0
17.,Openda L.,RB Leipzig,4,0
19.,Raphinha,Barcelona,3,4
19.,Vinicius Junior,Real Madrid,3,4
21.,Lino S.,Atlético de Madrid,3,3
22.,Joao Félix,Barcelona,3,1
22.,Lerager L.,Copenhague,3,1
22.,Lewandowski R.,Barcelona,3,1
22.,Méndez B.,Real Sociedad,3,1
22.,Torres F.,Barcelona,3,1
27.,Elyounoussi M.,Copenhague,3,0
27.,Joao Mario,Benfica,3,0
27.,Joselu,Real Madrid,3,0
27.,de Jong L.,PSV,3,0
31.,Bukari O.,Estrella Roja,2,2
31.,De Bruyne K.,Manchester City,2,2
31.,Dembélé O.,PSG,2,2
31.,Fernandes B.,Manchester Utd,2,2
31.,Füllkrug N.,Borussia Dortmund,2,2
31.,Martinelli G.,Arsenal,2,2
31.,Simons X.,RB Leipzig,2,2
31.,Taremi M.,Oporto,2,2
39.,Adeyemi K.,Borussia Dortmund,2,1
39.,Becker S.,Union Berlin,2,1
39.,Brandt J.,Borussia Dortmund,2,1
39.,Bruma,SC Braga,2,1
39.,Cancelo J.,Barcelona,2,1
39.,Díaz B.,Real Madrid,2,1
39.,Ferreira V.,PSG,2,1
39.,Giménez S.,Feyenoord,2,1
39.,Gloukh O.,Salzburgo,2,1
39.,Gonçalves D.,Copenhague,2,1
39.,López F.,Barcelona,2,1
39.,Martínez La.,Inter,2,1
39.,Merino M.,Real Sociedad,2,1
39.,Musiala J.,Bayern Múnich,2,1
39.,Odegaard M.,Arsenal,2,1
39.,Osimhen V.,Nápoles,2,1
39.,Ramos S.,Sevilla,2,1
39.,Reus M.,Borussia Dortmund,2,1
39.,Tel M.,Bayern Múnich,2,1
39.,Wahi E.,Lens,2,1
39.,Ziyech H.,Galatasaray,2,1
60.,Akanji M.,Manchester City,2,0
60.,Akturkoglu K.,Galatasaray,2,0
60.,Arnautovic M.,Inter,2,0
60.,Casemiro,Manchester Utd,2,0
60.,Chukwueze S.,AC Milan,2,0
60.,Coman K.,Bayern Múnich,2,0
60.,Djalo A.,SC Braga,2,0
60.,Elia M.,Young Boys,2,0
60.,En-Nesyri Y.,Sevilla,2,0
60.,Fulgini A.,Lens,2,0
60.,Furuhashi K.,Celtic,2,0
60.,Gnabry S.,Bayern Múnich,2,0
60.,Gudelj N.,Sevilla,2,0
60.,Icardi M.,Galatasaray,2,0
60.,Oyarzabal M.,Real Sociedad,2,0
60.,Palma L.,Celtic,2,0
60.,Pedro P.,Lazio,2,0
60.,Pepe,Oporto,2,0
60.,Rafa Silva,Benfica,2,0
60.,Sesko B.,RB Leipzig,2,0
60.,Silva B.,Manchester City,2,0
60.,Sánchez A.,Inter,2,0
82.,Sabitzer M.,Borussia Dortmund,1,5
83.,Zaire-Emery W.,PSG,1,3
84.,Frankowski P.,Lens,1,2
84.,Giroud O.,AC Milan,1,2
84.,Kimmich J.,Bayern Múnich,1,2
84.,Pepê,Oporto,1,2
84.,Politano M.,Nápoles,1,2
84.,Raum D.,RB Leipzig,1,2
84.,Rodri,Manchester City,1,2
84.,Sané L.,Bayern Múnich,1,2
84.,Schlager X.,RB Leipzig,1,2
84.,Vermeeren A.,Antwerp,1,2
84.,Vertessen Y.,PSV,1,2
95.,Almirón M.,Newcastle,1,1
