Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Goalkeeper,Scorer,Goals
F,esReal Madrid,12.0,8.0,4.0,0.0,26.0,15.0,11.0,28.0,24.0,15.4,8.6,0.72,WDWWW,"60,014",Andriy Lunin,Joselu,5
F,deDortmund,12.0,7.0,3.0,2.0,17.0,9.0,8.0,24.0,15.1,22.4,-7.3,-0.61,LWWWL,"81,365",Gregor Kobel,Niclas F,3
SF,deBayern Munich,12.0,7.0,3.0,2.0,21.0,13.0,8.0,24.0,19.0,15.0,4.0,0.33,WDLLW,"75,000",Manuel Neuer,Harry Kane,8
SF,frParis S-G,12.0,5.0,2.0,5.0,19.0,15.0,4.0,17.0,24.3,13.3,11.0,0.91,WDLLL,"38,947",Gianluigi Donnarumma,Kylian Mbapp,8
QF,engManchester City,10.0,8.0,2.0,0.0,28.0,13.0,15.0,26.0,24.6,6.9,17.7,1.77,WWWWW,"51,298",Ederson,Erling Haaland,6
QF,esAtlético Madrid,10.0,6.0,2.0,2.0,23.0,13.0,10.0,20.0,16.7,12.7,3.9,0.39,LLWWW,"64,803",Jan Oblak,Antoine Griezmann,6
QF,esBarcelona,10.0,6.0,1.0,3.0,20.0,14.0,6.0,19.0,16.9,11.3,5.6,0.56,LLWLW,"45,308",Marc-André ter Stegen,Robert Lewandowski,3
QF,engArsenal,10.0,5.0,2.0,3.0,19.0,8.0,11.0,17.0,13.4,8.5,4.9,0.49,WWWWW,"59,870",David Raya,Leandro Trossard,4
R16,ptPorto,8.0,5.0,0.0,3.0,16.0,9.0,7.0,15.0,11.4,7.7,3.7,0.46,DWDWW,"47,944",Diogo Costa,Galeno,5
R16,itInter,8.0,4.0,3.0,1.0,10.0,7.0,3.0,15.0,16.2,8.6,7.6,0.94,DWWLW,"70,279",Yann Sommer,Alexis S,2
R16,deRB Leipzig,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,12.2,10.7,1.5,0.19,WWWDD,"43,949",Janis Blaswich,Lo,4
R16,itLazio,8.0,4.0,1.0,3.0,8.0,10.0,-2.0,13.0,10.6,11.7,-1.1,-0.14,WWWDW,"47,701",Ivan Provedel,Ciro Immobile,4
R16,esReal Sociedad,8.0,3.0,3.0,2.0,8.0,6.0,2.0,12.0,10.3,6.4,3.9,0.49,DDLWL,"36,790",Álex Remiro,Brais M,3
R16,itNapoli,8.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0,10.5,11.6,-1.1,-0.13,DLDDL,"45,367",Alex Meret,Victor Osimhen,2
R16,nlPSV Eindhoven,8.0,2.0,4.0,2.0,9.0,13.0,-4.0,10.0,11.0,11.0,0.0,0.0,WWWWD,"34,589",Walter Benítez,Luuk de Jong,3
R16,dkFC Copenhagen,8.0,2.0,2.0,4.0,10.0,14.0,-4.0,8.0,9.1,12.8,-3.7,-0.46,DWWWW,"35,592",Kamil Grabara,Mohamed Elyounoussi,3
GR,uaShakhtar,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,7.4,10.9,-3.5,-0.58,WWWWW,"47,695",Dmytro Riznyk,Danylo Sikan,4
GR,itMilan,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,9.6,7.7,1.9,0.32,LLDDW,"72,212",Mike Maignan,Samuel Chukwueze,2
GR,frLens,6.0,2.0,2.0,2.0,6.0,11.0,-5.0,8.0,6.1,7.5,-1.4,-0.23,LWLWD,"37,543",Brice Samba,Angelo Fulgini,2
GR,nlFeyenoord,6.0,2.0,0.0,4.0,9.0,10.0,-1.0,6.0,10.6,8.0,2.6,0.43,WWWWW,"44,010",Justin Bijlow,Santiago Gim,2
GR,engNewcastle Utd,6.0,1.0,2.0,3.0,6.0,7.0,-1.0,5.0,5.9,12.3,-6.4,-1.07,WLWWD,"52,023",Nick Pope,Dan Burn,1
GR,trGalatasaray,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,9.8,10.2,-0.4,-0.07,WWWWW,"50,140",Fernando Muslera,Mauro Icardi,2
GR,engManchester Utd,6.0,1.0,1.0,4.0,12.0,15.0,-3.0,4.0,10.5,11.4,-0.9,-0.15,DWDLL,"73,175",André Onana,Rasmus H,5
GR,ptBenfica,6.0,1.0,1.0,4.0,7.0,11.0,-4.0,4.0,7.8,15.9,-8.1,-1.34,LWWLW,"56,621",Anatolii Trubin,Jo,3
GR,atRB Salzburg,6.0,1.0,1.0,4.0,4.0,8.0,-4.0,4.0,7.4,11.4,-3.9,-0.66,WLDLW,"28,477",Alexander Schlager,Oscar Gloukh,2
GR,chYoung Boys,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,6.4,15.3,-8.9,-1.48,DWWWL,"31,500",Anthony Racioppi,Meschak Elia,2
GR,ptBraga,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,8.3,10.0,-1.7,-0.28,WWLWW,"21,366",Matheus,Bruma,2
GR,sctCeltic,6.0,1.0,1.0,4.0,5.0,15.0,-10.0,4.0,4.9,11.7,-6.8,-1.13,DWWWW,"56,099",Joe Hart,Kyogo Furuhashi,2
GR,beAntwerp,6.0,1.0,0.0,5.0,6.0,17.0,-11.0,3.0,6.2,11.1,-4.9,-0.81,WLLLL,"13,570",Jean Butez,Vincent Janssen,1
GR,deUnion Berlin,6.0,0.0,2.0,4.0,6.0,10.0,-4.0,2.0,5.6,11.5,-5.9,-0.98,LLDLL,"72,976",Frederik Rønnow,Sheraldo Becker,2
GR,esSevilla,6.0,0.0,2.0,4.0,7.0,12.0,-5.0,2.0,5.9,10.8,-4.9,-0.81,WWDWL,"34,181",Marko Dmitrović,Sergio Ramos,2
GR,rsRed Star,6.0,0.0,1.0,5.0,7.0,15.0,-8.0,1.0,8.7,14.8,-6.1,-1.02,WDWWW,"46,202",Omri Glazer,Osman Bukari,2
