Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Goalkeeper,Scorer,Goals
2022-2023,1,engManchester City,13,8,5,0,32,5,+27,29,Ederson,Erling Haaland,12
2022-2023,2,itInter,13,7,3,3,19,11,+8,24,André Onana,Edin D,4
2022-2023,SF,esReal Madrid,12,8,2,2,26,13,+13,26,Thibaut Courtois,Vinicius J,7
2022-2023,SF,itMilan,12,5,3,4,15,11,+4,18,Mike Maignan,Olivier Giroud,5
2022-2023,QF,deBayern Munich,10,8,1,1,22,6,+16,25,Yann Sommer,Leroy San,4
2022-2023,QF,itNapoli,10,7,1,2,26,8,+18,22,Alex Meret,Victor Osimhen,5
2022-2023,QF,ptBenfica,10,6,3,1,26,13,+13,21,Odisseas Vlachodimos,Jo,6
2022-2023,QF,engChelsea,10,5,1,4,12,9,+3,16,Kepa Arrizabalaga,Raheem Sterling,3
2022-2023,R16,engLiverpool,8,5,0,3,19,12,+7,15,Alisson,Mohamed Salah,8
2022-2023,R16,frParis S-G,8,4,2,2,16,10,+6,14,Gianluigi Donnarumma,Kylian Mbapp,7
2022-2023,R16,ptPorto,8,4,1,3,12,8,+4,13,Diogo Costa,Mehdi Taremi,5
2022-2023,R16,deRB Leipzig,8,4,1,3,14,17,-3,13,Janis Blaswich,Andr,3
2022-2023,R16,deDortmund,8,3,3,2,11,7,+4,12,Alexander Meyer,Jude Bellingham,4
2022-2023,R16,engTottenham,8,3,3,2,8,7,+1,12,Hugo Lloris,Son Heung,2
2022-2023,R16,beClub Brugge,8,3,2,3,8,11,-3,11,Simon Mignolet,Kamal Sowah,2
2022-2023,R16,deEint Frankfurt,8,3,1,4,7,13,-6,10,Kevin Trapp,Daichi Kamada,3
2022-2023,GR,esBarcelona,6,2,1,3,12,12,0,7,Marc-André ter Stegen,Robert Lewandowski,5
2022-2023,GR,ptSporting CP,6,2,1,3,8,9,-1,7,Antonio Adán,Marcus Edwards,2
2022-2023,GR,frMarseille,6,2,0,4,8,8,0,6,Pau López,Alexis S,2
2022-2023,GR,uaShakhtar,6,1,3,2,8,10,-2,6,Anatolii Trubin,Mykhailo Mudryk,3
2022-2023,GR,atRB Salzburg,6,1,3,2,5,9,-4,6,Philipp Köhn,Noah Okafor,3
2022-2023,GR,nlAjax,6,2,0,4,11,16,-5,6,Remko Pasveer,Kudus Mohammed,4
2022-2023,GR,esAtlético Madrid,6,1,2,3,5,9,-4,5,Jan Oblak,Antoine Griezmann,1
2022-2023,GR,deLeverkusen,6,1,2,3,4,8,-4,5,Lukáš Hrádecký,Moussa Diaby,2
2022-2023,GR,esSevilla,6,1,2,3,6,12,-6,5,Yassine Bounou,Youssef En,2
2022-2023,GR,hrDinamo Zagreb,6,1,1,4,4,11,-7,4,Dominik Livaković,Mislav Or,2
2022-2023,GR,itJuventus,6,1,0,5,9,13,-4,3,Wojciech Szczęsny,Adrien Rabiot,2
2022-2023,GR,dkFC Copenhagen,6,0,3,3,1,12,-11,3,Kamil Grabara,H,1
2022-2023,GR,ilMaccabi Haifa,6,1,0,5,7,21,-14,3,Josh Cohen,Tjaronn Chery,2
2022-2023,GR,sctCeltic,6,0,2,4,4,15,-11,2,Joe Hart,Jota,2
2022-2023,GR,czViktoria Plzeň,6,0,0,6,5,24,-19,0,Jindřich Staněk,Tom,2
2022-2023,GR,sctRangers,6,0,0,6,2,22,-20,0,Allan McGregor,Scott Arfield,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2021-2022,1,esReal Madrid,13,9,0,4,29,14,+15,27,Thibaut Courtois,Karim Benzema,15
2021-2022,2,engLiverpool,13,10,1,2,30,14,+16,31,Alisson,Mohamed Salah,8
2021-2022,SF,engManchester City,12,7,2,3,29,16,+13,23,Ederson,Riyad Mahrez,7
2021-2022,SF,esVillarreal,12,5,3,4,20,16,+4,18,Gerónimo Rulli,Arnaut Danjuma,6
2021-2022,QF,deBayern Munich,10,7,2,1,31,7,+24,23,Manuel Neuer,Robert Lewandowski,13
2021-2022,QF,engChelsea,10,7,1,2,21,10,+11,22,Edouard Mendy,Timo Werner,4
2021-2022,QF,ptBenfica,10,3,4,3,14,17,-3,13,Odisseas Vlachodimos,Darwin N,6
2021-2022,QF,esAtlético Madrid,10,3,3,4,9,10,-1,12,Jan Oblak,Antoine Griezmann,4
2021-2022,R16,nlAjax,8,6,1,1,22,8,+14,19,Remko Pasveer,S,11
2021-2022,R16,itJuventus,8,5,1,2,11,10,+1,16,Wojciech Szczęsny,Paulo Dybala,3
2021-2022,R16,frParis S-G,8,4,2,2,15,11,+4,14,Gianluigi Donnarumma,Kylian Mbapp,6
2021-2022,R16,itInter,8,4,1,3,9,7,+2,13,Samir Handanović,Edin D,3
2021-2022,R16,engManchester Utd,8,3,3,2,12,10,+2,12,David de Gea,Cristiano Ronaldo,6
2021-2022,R16,frLille,8,3,2,3,8,8,0,11,Ivo Grbić,Jonathan David,3
2021-2022,R16,atRB Salzburg,8,3,2,3,10,14,-4,11,Philipp Köhn,Karim Adeyemi,3
2021-2022,R16,ptSporting CP,8,3,1,4,14,17,-3,10,Antonio Adán,Pedro Gon,4
2021-2022,GR,deDortmund,6,3,0,3,10,11,-1,9,Gregor Kobel,Marco Reus,3
2021-2022,GR,deRB Leipzig,6,2,1,3,15,14,+1,7,Péter Gulácsi,Christopher Nkunku,7
2021-2022,GR,mdSheriff Tiraspol,6,2,1,3,7,11,-4,7,Giorgos Athanasiadis,Adama Traor,2
2021-2022,GR,esBarcelona,6,2,1,3,2,9,-7,7,Marc-André ter Stegen,Gerard Piqu,1
2021-2022,GR,esSevilla,6,1,3,2,5,5,0,6,Yassine Bounou,Ivan Rakiti,2
2021-2022,GR,itAtalanta,6,1,3,2,12,13,-1,6,Juan Musso,Duv,3
2021-2022,GR,ruZenit,6,1,2,3,10,10,0,5,Stanislav Kritsyuk,Claudinho,2
2021-2022,GR,chYoung Boys,6,1,2,3,7,12,-5,5,"Guillaume Faivre,David von Ballmoos",Jordan Pefok,2
2021-2022,GR,deWolfsburg,6,1,2,3,5,10,-5,5,Koen Casteels,Lukas Nmecha,2
2021-2022,GR,ptPorto,6,1,2,3,4,11,-7,5,Diogo Costa,Luis D,2
2021-2022,GR,itMilan,6,1,1,4,6,9,-3,4,"Mike Maignan,Ciprian Tătărușanu",Rafael Le,1
2021-2022,GR,beClub Brugge,6,1,1,4,6,20,-14,4,Simon Mignolet,Hans Vanaken,3
2021-2022,GR,uaShakhtar,6,0,2,4,2,12,-10,2,Anatolii Trubin,Fernando,2
