Ronda,Equipo Local,Resultado,Equipo Visitante
Jornada 7,FC Copenhague,1-3,M. City
Jornada 7,Leipzig,0-1,Real Madrid
Jornada 7,Lazio,1-0,Bayern Múnich
Jornada 7,PSG,2-0,R. Sociedad
Jornada 7,Inter Milán,1-0,Atlético
Jornada 7,PSV,1-1,Borussia Dortmund
Jornada 7,Oporto,1-0,Arsenal
Jornada 7,Nápoles,1-1,Barcelona
Jornada 8,Bayern Múnich,3-0,Lazio
Jornada 8,R. Sociedad,1-2,PSG
Jornada 8,M. City,3-1,FC Copenhague
Jornada 8,Real Madrid,1-1,Leipzig
Jornada 8,Arsenal,1-0,Oporto
Jornada 8,Barcelona,3-1,Nápoles
Jornada 8,Atlético,2-1,Inter Milán
Jornada 8,Borussia Dortmund,2-0,PSV
