Temporada,Fecha,Ronda,Día,Sedes,Resultado,Goles a favor,Goles en contra,Adversario,xG,xGA,Posesión,Asistencia,Capitán,Formación,Árbitro,Informe,Notas
2023-08-12,21:30,La Liga,Semana 1 de partido,Sáb,Visitante,V,2,0,Athletic Club,0.9,0.4,54,"48,927",Dani Carvajal,4-1-2-1-2◆,Jesús Gil,Informe del partido
2023-08-19,19:30,La Liga,Semana 2 de partido,Sáb,Visitante,V,3,1,Almería,2.0,1.3,57,"17,561",Dani Carvajal,4-3-1-2,José Sánchez,Informe del partido
2023-08-25,21:30,La Liga,Semana 3 de partido,Vie,Visitante,V,1,0,Celta Vigo,1.4,1.2,63,"23,057",Dani Carvajal,4-1-2-1-2◆,Isidro Díaz de Mera,Informe del partido
2023-09-02,16:15,La Liga,Semana 4 de partido,Sáb,Local,V,2,1,Getafe,2.8,0.4,76,"66,747",Luka Modrić,4-3-1-2,Mario Melero,Informe del partido
2023-09-17,21:00,La Liga,Semana 5 de partido,Dom,Local,V,2,1,Real Sociedad,2.0,1.6,52,"70,092",Dani Carvajal,4-1-2-1-2◆,César Soto,Informe del partido
2023-09-20,18:45,Champions Lg,Etapa de grupo,Mié,Local,V,1,0,de Union Berlin,3.7,0.2,75,"65,207",Nacho,4-3-1-2,Espen Eskås,Informe del partido
2023-09-24,21:00,La Liga,Semana 6 de partido,Dom,Visitante,D,1,3,Atlético Madrid,1.0,1.4,63,"69,082",Luka Modrić,4-1-2-1-2◆,Alberola Rojas,Informe del partido
2023-09-27,19:00,La Liga,Semana 7 de partido,Mié,Local,V,2,0,Las Palmas,1.7,0.7,48,"65,017",Nacho,4-3-1-2,José Luis Munuera,Informe del partido
2023-09-30,18:30,La Liga,Semana 8 de partido,Sáb,Visitante,V,3,0,Girona,2.3,1.6,48,"14,184",Nacho,4-3-1-2,Juan Pulido,Informe del partido
2023-10-03,21:00,Champions Lg,Etapa de grupo,Mar,Visitante,V,3,2,it Napoli,1.4,1.9,50,"51,649",Nacho,4-3-1-2,Clément Turpin,Informe del partido
2023-10-07,16:15,La Liga,Semana 9 de partido,Sáb,Local,V,4,0,Osasuna,3.2,0.5,67,"70,864",Luka Modrić,4-3-1-2,Guillermo Cuadra,Informe del partido
2023-10-21,18:30,La Liga,Semana 10 de partido,Sáb,Visitante,E,1,1,Sevilla,1.6,1.5,51,"41,212",Dani Carvajal,4-1-2-1-2◆,Ricardo de Burgos,Informe del partido
2023-10-24,20:00 (21:00),Champions Lg,Etapa de grupo,Mar,Visitante,V,2,1,pt Braga,0.9,1.5,52,"29,820",Nacho,4-3-1-2,Michael Oliver,Informe del partido
2023-10-28,16:15,La Liga,Semana 11 de partido,Sáb,Visitante,V,2,1,Barcelona,1.1,1.5,47,"50,112",Dani Carvajal,4-1-3-2,Jesús Gil,Informe del partido
2023-11-05,21:00,La Liga,Semana 12 de partido,Dom,Local,E,0,0,Rayo Vallecano,2.2,0.1,63,"70,220",Luka Modrić,4-3-1-2,Juan Martínez,Informe del partido
2023-11-08,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,3,0,pt Braga,3.2,1.4,48,"68,509",Nacho,4-3-1-2,Halil Umut Meler,Informe del partido
2023-11-11,21:00,La Liga,Semana 13 de partido,Sáb,Local,V,5,1,Valencia,1.7,1.7,57,"72,475",Nacho,4-4-2,José Sánchez,Informe del partido
2023-11-26,18:30,La Liga,Semana 14 de partido,Dom,Visitante,V,3,0,Cádiz,1.6,1.2,61,"20,325",Nacho,4-2-2-2,Guillermo Cuadra,Informe del partido
2023-11-29,21:00,Champions Lg,Etapa de grupo,Mié,Local,V,4,2,it Napoli,2.8,1.4,53,"73,562",Dani Carvajal,4-2-2-2,François Letexier,Informe del partido
2023-12-02,18:30,La Liga,Semana 15 de partido,Sáb,Local,V,2,0,Granada,1.8,0.1,71,"70,685",Dani Carvajal,4-4-2,Pablo González,Informe del partido
2023-12-09,16:15,La Liga,Semana 16 de partido,Sáb,Visitante,E,1,1,Betis,1.0,1.3,63,"52,756",Luka Modrić,4-2-3-1,César Soto,Informe del partido
2023-12-12,21:00,Champions Lg,Etapa de grupo,Mar,Visitante,V,3,2,de Union Berlin,2.9,1.1,74,"73,420",Nacho,4-2-2-2,Rade Obrenović,Informe del partido
2023-12-17,21:00,La Liga,Semana 17 de partido,Dom,Local,V,4,1,Villarreal,2.3,0.8,60,"70,500",Luka Modrić,4-4-2,Jorge Figueroa,Informe del partido
2023-12-21,21:30,La Liga,Semana 18 de partido,Jue,Visitante,V,1,0,Alavés,0.6,0.6,60,"19,275",Nacho,4-3-1-2,Isidro Díaz de Mera,Informe del partido
2024-01-03,19:15,La Liga,Semana 19 de partido,Mié,Local,V,1,0,Mallorca,1.7,0.6,67,"72,394",Luka Modrić,4-2-2-2,Alejandro Muñíz,Informe del partido
2024-01-06,21:30,Copa del Rey,Dieciseisavos de final,Sáb,Visitante,V,3,1,Arandina,,,78,"10,000",Nacho,4-2-3-1,Víctor García,Informe del partido
2024-01-10,22:00 (20:00),Supercopa de España,Semifinales,Mié,Local,V,5,3,Atlético Madrid,,,56,"25,000",Nacho,4-3-1-2,Alberola Rojas,Informe del partido
2024-01-14,22:00 (20:00),Supercopa de España,Final,Dom,Local,V,4,1,Barcelona,,,43,"23,977",Nacho,4-3-1-2,Juan Martínez,Informe del partido
2024-01-18,21:30,Copa del Rey,Ronda de 16,Jue,Visitante,D,2,4,Atlético Madrid,,,59,"67,623",Nacho,4-3-1-2,Guillermo Cuadra,Informe del partido
2024-01-21,16:15,La Liga,Semana 21 de partido,Dom,Local,V,3,2,Almería,2.2,0.9,73,"72,044",Nacho,4-3-1-2,Francisco Hernández,Informe del partido
2024-01-27,15:15 (16:15),La Liga,Semana 22 de partido,Sáb,Visitante,V,2,1,Las Palmas,2.3,0.7,47,"32,037",Nacho,4-3-1-2,César Soto,Informe del partido
2024-02-01,21:00,La Liga,Semana 20 de partido,Jue,Visitante,V,2,0,Getafe,2.0,0.8,58,"15,264",Nacho,4-3-1-2,Ricardo de Burgos,Informe del partido
2024-02-04,21:00,La Liga,Semana 23 de partido,Dom,Local,E,1,1,Atlético Madrid,1.9,1.1,54,"76,732",Nacho,4-3-1-2,José Sánchez,Informe del partido
2024-02-10,18:30,La Liga,Semana 24 de partido,Sáb,Local,V,4,0,Girona,3.2,0.3,53,"76,585",Dani Carvajal,4-3-1-2,Juan Martínez,Informe del partido
